import time: self [us] | cumulative | imported package
import time:     65411 |      65411 |       django.contrib.admin.utils
import time:     89096 |     154507 |     django.contrib.admin.helpers
import time:     71283 |      71283 |     django.contrib.admin.widgets
import time:     72989 |      72989 |     django.contrib.admin.checks
import time:    125814 |     125814 |       django.contrib.admin.templatetags
import time:    123533 |     249347 |     django.contrib.admin.templatetags.admin_urls
import time:     90788 |      90788 |         django.middleware
import time:     82945 |      82945 |         django.utils.cache
import time:    115420 |     289152 |       django.middleware.csrf
import time:    115388 |     115388 |       django.contrib.auth.signals
import time:    114523 |     519062 |     django.contrib.auth
import time:     70413 |      70413 |     django.views.decorators.csrf
import time:    109717 |    1939804 |   django.contrib.admin.options
import time:     83631 |    2102728 | django.contrib.admin.filters
import time:     74910 |      74910 |   django.contrib.admin.actions
import time:    132478 |     132478 |     django.contrib.admin.views
import time:    661435 |     793912 |   django.contrib.admin.views.autocomplete
import time:     90977 |      90977 |     django.shortcuts
import time:    274734 |     365710 |   django.contrib.auth.decorators
import time:    119247 |     119247 |     django.middleware.cache
import time:    123336 |     242583 |   django.views.decorators.cache
import time:    195369 |     195369 |   django.views.decorators.common
import time:     97115 |      97115 |   django.views.i18n
import time:     94039 |    1863636 | django.contrib.admin.sites
import time:      3140 |       3140 |     getpass
import time:    134041 |     134041 |       django.contrib.contenttypes
import time:    268862 |     268862 |           django.db.migrations.utils
import time:    255583 |     255583 |           django.db.migrations.exceptions
import time:    364351 |     888795 |         django.db.migrations.migration
import time:     56511 |      56511 |             django.db.migrations.operations.base
import time:    118099 |     174610 |           django.db.migrations.operations.fields
import time:     48501 |      48501 |             django.db.migrations.state
import time:    174066 |     222566 |           django.db.migrations.operations.models
import time:     76667 |      76667 |           django.db.migrations.operations.special
import time:    154146 |     627989 |         django.db.migrations.operations
import time:    155976 |    1672759 |       django.db.migrations
import time:    162444 |    1969243 |     django.contrib.contenttypes.management
import time:    131115 |    2103496 |   django.contrib.auth.management
import time:     79576 |    2183072 | django.contrib.auth.checks
import time:     57971 |      57971 | django.contrib.contenttypes.checks
import time:     52855 |      52855 |     django.contrib.staticfiles.utils
import time:     48377 |     101232 |   django.contrib.staticfiles.finders
import time:     56249 |     157480 | django.contrib.staticfiles.checks
import time:     47232 |      47232 | django.contrib.sites.checks
import time:     45543 |      45543 | django.contrib.sites.management
import time:     60698 |      60698 |     corsheaders.defaults
import time:     35777 |      96474 |   corsheaders.conf
import time:     37680 |     134154 | corsheaders.checks
Traceback (most recent call last):
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/manage.py", line 11, in <module>
    main()
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/manage.py", line 9, in main
    execute_from_command_line(sys.argv)
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/venv/lib/python3.12/site-packages/django/core/management/__init__.py", line 442, in execute_from_command_line
    utility.execute()
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/venv/lib/python3.12/site-packages/django/core/management/__init__.py", line 416, in execute
    django.setup()
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/venv/lib/python3.12/site-packages/django/__init__.py", line 24, in setup
    apps.populate(settings.INSTALLED_APPS)
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/venv/lib/python3.12/site-packages/django/apps/registry.py", line 91, in populate
    app_config = AppConfig.create(entry)
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/venv/lib/python3.12/site-packages/django/apps/config.py", line 123, in create
    mod = import_module(mod_path)
          ^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3.12/importlib/__init__.py", line 90, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 991, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1129, in get_code
  File "<frozen importlib._bootstrap_external>", line 1059, in source_to_code
  File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
  File "/mnt/c/Users/youne/Desktop/2-InfoTech/website/website13/backend/apps/core/apps.py", line 9
    
    ^
IndentationError: expected an indented block after function definition on line 7
import time:       204 |        204 | gc
